,0,1,2,3,4,5,6,7
0,1,宏光MINIEV,36762,上汽通用五菱,3.28,9.99,//price.16888.com/sr-128864.html,202101
1,2,汉,24206,比亚迪,16.58,25.98,/s/127904/,202101
2,3,荣威Ei5,13507,上汽集团,13.98,15.38,//price.16888.com/sr-127686.html,202101
3,4,小蚂蚁,6472,奇瑞新能源,5.99,7.69,/s/127363/,202101
4,5,欧拉黑猫,6090,长城新能源,8.48,9.98,//price.16888.com/sr-128436.html,202101
5,6,荣威e950,5654,上汽集团,0.00,0.00,/s/128852/,202101
6,7,理想ONE,5379,理想,33.80,33.80,//price.16888.com/sr-127934.html,202101
7,8,小鹏P7,3691,小鹏汽车,20.99,33.99,/s/128576/,202101
8,9,蔚来EC6,3094,蔚来,35.80,41.60,//price.16888.com/sr-128954.html,202101
9,10,蔚来ES6,2800,蔚来,33.80,39.60,/s/128029/,202101
10,11,哪吒U,2195,合众汽车,11.88,15.98,//price.16888.com/sr-127767.html,202101
11,12,欧拉白猫,2089,长城新能源,7.18,10.68,/s/128198/,202101
12,13,欧拉好猫,2081,长城新能源,10.58,13.58,//price.16888.com/sr-128978.html,202101
13,14,唐新能源,2049,比亚迪,17.98,26.98,/s/128133/,202101
14,15,威马EX5,2014,威马汽车,16.08,17.98,//price.16888.com/sr-128866.html,202101
15,16,蔚来ES8,1854,蔚来,49.80,59.80,/s/128182/,202101
16,17,零跑T03,1637,零跑汽车,4.99,6.99,//price.16888.com/sr-128578.html,202101
17,18,秦新能源,1559,比亚迪,16.88,16.88,/s/127691/,202101
18,19,宝马iX3,1513,华晨宝马,40.50,44.50,//price.16888.com/sr-128689.html,202101
19,20,小鹏G3,1489,小鹏汽车,16.89,20.19,/s/127723/,202101
20,21,英致EX1,1464,中国重汽VGV,0.00,0.00,//price.16888.com/sr-128403.html,202101
21,22,AION V,1201,广汽埃安,12.98,19.36,/s/128285/,202101
22,23,吉利几何C,1106,吉利几何,12.98,20.78,//price.16888.com/sr-128747.html,202101
23,24,荣威MARVEL X,1096,上汽集团,0.00,0.00,/s/129049/,202101
24,25,比亚迪e2,1055,比亚迪,8.98,14.78,//price.16888.com/sr-129038.html,202101
25,26,荣威i6新能源,1004,上汽集团,14.78,20.18,/s/128206/,202101
26,27,帝豪新能源,902,吉利新能源,13.58,16.18,//price.16888.com/sr-128895.html,202101
27,28,宝来·纯电,858,一汽-大众,0.00,0.00,/s/128065/,202101
28,29,探岳GTE,732,一汽-大众,0.00,0.00,//price.16888.com/sr-127573.html,202101
29,30,宋新能源,717,比亚迪,0.00,0.00,/s/128953/,202101
30,31,名爵EZS纯电动,713,上汽集团,11.98,14.98,//price.16888.com/sr-128135.html,202101
31,32,宝骏E300,676,上汽通用五菱,0.00,0.00,/s/128626/,202101
32,33,爱驰U5,643,爱驰汽车,16.69,24.99,//price.16888.com/sr-128231.html,202101
0,51,奥迪Q2L e-tron,386,一汽-大众奥迪,24.38,24.38,//price.16888.com/sr-128744.html,202101
1,52,雷凌双擎E+,376,广汽丰田,20.38,21.88,/s/127865/,202101
2,53,云度π1,363,云度新能源,7.48,7.98,//price.16888.com/sr-128702.html,202101
3,54,国机智骏GC1,324,国机智骏,7.38,8.38,/s/128558/,202101
4,55,广汽本田VE-1,323,广汽本田,15.98,18.68,//price.16888.com/sr-128145.html,202101
5,56,国机智骏GX5,303,国机智骏,11.58,13.98,/s/128721/,202101
6,57,领克01新能源,299,领克,19.97,22.78,//price.16888.com/sr-128402.html,202101
7,58,比亚迪e3,286,比亚迪,15.48,15.58,/s/128417/,202101
8,59,畅巡,260,上汽通用雪佛兰,18.29,19.79,//price.16888.com/sr-128758.html,202101
9,60,嘉际新能源,243,吉利新能源,14.58,16.88,/s/128653/,202101
10,61,帕萨特新能源,225,上汽大众,23.32,24.22,//price.16888.com/sr-127866.html,202101
11,62,宋MAX新能源,194,比亚迪,14.78,17.48,/s/128810/,202101
12,63,丰田C-HR EV,185,广汽丰田,22.58,24.98,//price.16888.com/sr-129016.html,202101
13,64,艾瑞泽5e,183,奇瑞新能源,0.00,0.00,/s/128426/,202101
14,65,思皓E20X,156,江淮大众,12.80,13.80,//price.16888.com/sr-128811.html,202101
15,66,云度π3,156,云度新能源,11.98,14.48,/s/128152/,202101
16,67,易至EV3,151,江铃集团新能源,5.28,6.68,//price.16888.com/sr-128432.html,202101
17,68,悦虎,151,大运汽车,5.68,8.58,/s/128486/,202101
18,69,沃尔沃XC40新能源,129,沃尔沃亚太,27.99,32.20,//price.16888.com/sr-127908.html,202101
19,70,奕泽E进擎,118,一汽丰田,22.58,25.38,/s/127732/,202101
20,71,比亚迪e1,108,比亚迪,5.99,7.99,//price.16888.com/sr-128830.html,202101
21,72,微蓝7,90,上汽通用别克,19.78,21.78,/s/128748/,202101
22,73,长安CS15EV,87,长安汽车,8.98,9.88,//price.16888.com/sr-128501.html,202101
23,74,开瑞K60EV,84,开瑞汽车,19.88,20.88,/s/128163/,202101
24,75,赛力斯SF5,83,金康赛力斯,21.68,24.68,//price.16888.com/sr-128796.html,202101
25,76,吉利几何A,75,吉利几何,14.38,20.78,/s/127868/,202101
26,77,缤越新能源,74,吉利新能源,11.98,13.58,//price.16888.com/sr-128471.html,202101
27,78,风行S50EV,73,东风风行,15.09,16.99,/s/128597/,202101
28,79,Aion LX,63,广汽埃安,28.66,46.96,//price.16888.com/sr-127749.html,202101
29,80,逸动新能源,51,长安汽车,8.49,14.99,/s/128590/,202101
30,81,江淮iC5,51,江淮汽车,14.99,17.59,//price.16888.com/sr-127675.html,202101
31,82,天逸 C5 AIRCROSS新能源,45,东风雪铁龙,23.17,26.47,/s/128553/,202101
32,83,魏牌 VV7新能源,40,长城汽车,21.98,23.98,//price.16888.com/sr-128457.html,202101
0,101,标致508L新能源,10,东风标致,21.57,22.77,//price.16888.com/sr-128833.html,202101
1,102,江淮iEV,10,江淮汽车,9.45,9.45,/s/128922/,202101
2,103,飞凡ER6,7,上汽集团,15.58,20.08,//price.16888.com/sr-128628.html,202101
3,104,领克02新能源,7,领克,18.27,19.77,/s/128447/,202101
4,105,睿行ES30,6,长安凯程,6.68,6.98,//price.16888.com/sr-128767.html,202101
5,106,北京EX3,6,北京汽车,11.99,16.39,/s/128037/,202101
6,107,标致e2008,4,东风标致,0.00,0.00,//price.16888.com/sr-128595.html,202101
7,108,江淮iEVA50,4,江淮汽车,12.98,14.55,/s/128327/,202101
8,109,易至EX5,2,江铃集团新能源,12.58,13.28,//price.16888.com/sr-127883.html,202101
9,110,朗逸纯电,2,上汽大众,14.89,14.89,/s/127530/,202101
10,111,北汽新能源EU,2,北汽新能源,7.98,7.98,//price.16888.com/sr-128153.html,202101
11,112,沃尔沃S60新能源,1,沃尔沃亚太,39.99,46.19,/s/127752/,202101
12,113,上汽大通MAXUS EG10,1,上汽大通,29.93,41.68,//price.16888.com/sr-128078.html,202101
13,114,江淮iEV6E,0,江淮汽车,5.95,7.55,/s/128100/,202101
14,115,江铃E200L,0,江铃集团新能源,0.00,0.00,//price.16888.com/sr-127748.html,202101
15,116,索纳塔插电混动,0,北京现代,22.28,25.68,/s/128188/,202101
16,117,VELITE 5,0,上汽通用别克,0.00,0.00,//price.16888.com/sr-127843.html,202101
17,118,传祺GA3S PHEV,0,广汽埃安,16.48,17.48,/s/128158/,202101
18,119,帝豪GSe,0,吉利新能源,10.99,15.99,//price.16888.com/sr-126687.html,202101
19,120,江铃E160,0,江铃集团新能源,0.00,0.00,/s/128184/,202101
20,121,瑞驰新能源EC35,0,瑞驰新能源,6.99,14.38,//price.16888.com/sr-128014.html,202101
21,122,传祺GE3,0,广汽埃安,0.00,0.00,/s/128532/,202101
22,123,魏牌 P8,0,长城汽车,0.00,0.00,//price.16888.com/sr-128933.html,202101
23,124,欧拉iQ,0,长城新能源,11.48,15.03,/s/128237/,202101
24,125,LITE,0,北汽新能源,11.08,12.68,//price.16888.com/sr-128230.html,202101
