车型,销量,厂商,售价区间,车型链接,图片链接
宏光MINIEV,73009,上汽通用五菱,3.28 - 9.99,https://www.16888.com/128864/,
宋PLUS新能源,50006,比亚迪,13.58 - 18.08,https://xl.16888.com/s/128912/,
Model Y,35750,特斯拉中国,26.35 - 31.35,https://xl.16888.com/s/129112/,
汉,30043,比亚迪,16.58 - 25.98,https://xl.16888.com/s/128787/,
元PLUS,29468,比亚迪,11.58 - 14.78,https://xl.16888.com/s/129234/,
海豚,26074,比亚迪,9.98 - 12.98,https://xl.16888.com/s/129217/,
秦PLUS,23149,比亚迪,7.98 - 17.98,https://xl.16888.com/s/129054/,
唐新能源,20165,比亚迪,17.98 - 26.98,https://xl.16888.com/s/126549/,
宋Pro新能源,20073,比亚迪,10.28 - 14.28,https://xl.16888.com/s/128490/,
Model 3,20046,特斯拉中国,23.19 - 33.95,https://xl.16888.com/s/128722/,
海豹,15378,比亚迪,14.98 - 24.98,https://xl.16888.com/s/129445/,
AION Y,14311,广汽埃安,9.98 - 18.98,https://xl.16888.com/s/129064/,
长安Lumin,12468,长安汽车,3.79 - 6.59,https://xl.16888.com/s/129444/,
极氪001,11337,极氪,25.90 - 32.90,https://xl.16888.com/s/129130/,
理想L9,10582,理想,42.98 - 45.98,https://xl.16888.com/s/129589/,
理想L8,10189,理想,32.18 - 39.98,https://xl.16888.com/s/129689/,
MG4 EV,9793,上汽集团,13.98 - 18.68,https://xl.16888.com/s/129582/,
五菱Air ev晴空,9331,上汽通用五菱,6.78 - 8.28,https://xl.16888.com/s/129575/,
北京EU5,8840,北京汽车,12.99 - 17.19,https://xl.16888.com/s/128299/,
蔚来ET5,7594,蔚来,29.80 - 35.60,https://xl.16888.com/s/129364/,
东风纳米EX1,7546,东风汽车,4.57 - 4.57,https://xl.16888.com/s/129106/,
东风风神E70,7368,东风乘用车,14.28 - 15.38,https://xl.16888.com/s/127868/,
启辰D60EV,6418,东风日产,12.98 - 17.88,https://xl.16888.com/s/128626/,
问界M5,6223,AITO 问界,22.98 - 27.98,https://xl.16888.com/s/129407/,
驱逐舰05,6107,比亚迪,7.98 - 13.68,https://xl.16888.com/s/129403/,
腾势D9,6002,腾势汽车,33.98 - 66.00,https://xl.16888.com/s/129515/,
枫叶60s,5887,睿蓝汽车,9.98 - 16.38,https://xl.16888.com/s/129401/,
红旗E-QM5,5492,一汽红旗,16.58 - 23.98,https://xl.16888.com/s/129210/,
吉利几何A,5305,吉利几何,14.38 - 20.78,https://xl.16888.com/s/128369/,
smart精灵#1,4794,smart,15.49 - 28.49,https://xl.16888.com/s/129576/,
荣威Ei5,4747,上汽集团,13.98 - 15.38,https://xl.16888.com/s/127904/,
QQ冰淇淋,4592,奇瑞新能源,2.99 - 5.69,https://xl.16888.com/s/129245/,
领克01新能源,4427,领克,19.97 - 22.78,https://xl.16888.com/s/128145/,
吉利几何E萤火虫,4357,吉利几何,5.98 - 8.98,https://xl.16888.com/s/129442/,
骏行,4355,国金汽车,15.98 - 15.98,https://xl.16888.com/s/129618/,
奔腾NAT,4243,一汽奔腾,13.98 - 16.48,https://xl.16888.com/s/129174/,
