月份,车型,销量,厂商,售价区间,车型链接,图片链接
202301,宋PLUS新能源,35585,比亚迪,13.58 - 18.08,https://xl.16888.com/s/128912/,https://i2.img16888.com/picLib/2024/02/2024022905545780999_240.jpg
202301,海豚,17582,比亚迪,9.98 - 12.98,https://xl.16888.com/s/129217/,https://i2.img16888.com/picLib/2021/07/2021070210350347809_240.jpg
202301,宏光MINIEV,16416,上汽通用五菱,3.28 - 9.99,https://xl.16888.com/s/128864/,https://i.img16888.com/picLib/2020/08/2020081410475359342_240.jpg
202301,元PLUS,14342,比亚迪,11.58 - 14.78,https://xl.16888.com/s/129234/,https://i.img16888.com/picLib/2023/05/2023050904182739822_240.jpg
202301,Model Y,14184,特斯拉中国,26.35 - 31.35,https://xl.16888.com/s/129112/,https://i3.img16888.com/picLib/2021/03/2021033109375237701_240.jpg
202301,宋Pro新能源,14124,比亚迪,10.28 - 14.28,https://xl.16888.com/s/128490/,https://i3.img16888.com/picLib/2024/10/2024101502142055820_240.jpg
202301,Model 3,12659,特斯拉中国,23.19 - 33.95,https://xl.16888.com/s/128722/,https://i3.img16888.com/picLib/2020/06/2020062802411149968_240.jpg
202301,汉,11718,比亚迪,16.58 - 25.98,https://xl.16888.com/s/128787/,https://i3.img16888.com/picLib/2020/08/2020082003421969751_240.jpg
202301,秦PLUS,11590,比亚迪,7.98 - 17.98,https://xl.16888.com/s/129054/,https://i.img16888.com/picLib/2021/03/2021031111162675446_240.jpg
202301,唐新能源,8542,比亚迪,17.98 - 26.98,https://xl.16888.com/s/126549/,https://i.img16888.com/picLib/2019/03/2019032601545029527_240.jpg
202301,理想L9,7996,理想,42.98 - 45.98,https://xl.16888.com/s/129589/,https://i.img16888.com/picLib/2022/06/2022062211313699372_240.jpg
202301,红旗E-QM5,6703,一汽红旗,16.58 - 23.98,https://xl.16888.com/s/129210/,https://i.img16888.com/picLib/2021/06/2021062302514547464_240.jpg
202301,海豹,6618,比亚迪,14.98 - 24.98,https://xl.16888.com/s/129445/,https://i.img16888.com/picLib/2022/05/2022051806341027359_240.jpg
202301,腾势D9,6438,腾势汽车,33.98 - 66.00,https://xl.16888.com/s/129515/,https://i.img16888.com/picLib/2022/10/2022102004563412102_240.jpg
202301,理想L8,6099,理想,32.18 - 39.98,https://xl.16888.com/s/129689/,https://i2.img16888.com/picLib/2022/10/2022101404482395091_240.jpg
202301,蔚来ET5,5795,蔚来,29.80 - 35.60,https://xl.16888.com/s/129364/,https://i.img16888.com/picLib/2022/12/2022120502094649796_240.jpg
202301,护卫舰07,5043,比亚迪,17.98 - 25.98,https://xl.16888.com/s/129637/,https://i.img16888.com/picLib/2022/10/2022102605580197156_240.jpg
202301,驱逐舰05,4856,比亚迪,7.98 - 13.68,https://xl.16888.com/s/129403/,https://i.img16888.com/picLib/2022/05/2022051806261162436_240.jpg
202301,AION Y,4792,广汽埃安,9.98 - 18.98,https://xl.16888.com/s/129064/,https://i2.img16888.com/picLib/2021/02/2021022209523483671_240.jpg
202301,长安Lumin,4711,长安汽车,3.79 - 6.59,https://xl.16888.com/s/129444/,https://i.img16888.com/picLib/2022/10/2022102004174394459_240.jpg
202301,长安奔奔E-Star,4683,长安汽车,0.00 - 0.00,https://xl.16888.com/s/128865/,
